no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-48,-60,-71,-75,-22.7303,-15.631875
,-51,-58,-78,-72,-27.271,-18.130872
,-49,-55,-72,-69,-22.0309,-22.507969
,-44,-57,-66,-70,-17.3256,-21.00377
,-42,-55,-65,-68,-16.4837,-21.827668
,-46,-59,-71,-74,-21.0051,-16.214674
,-44,-59,-67,-74,-19.2846,-17.664374
,-48,-59,-74,-74,-23.712,-12.632274
,-48,-58,-71,-72,-23.2581,-17.87372
,-45,-52,-68,-65,-19.3281,-22.493265
,-46,-50,-69,-63,-20.2542,-24.568363
,-46,-51,-71,-64,-19.3935,-24.306764
,-44,-51,-68,-64,-17.8409,-24.195564
,-44,-52,-67,-65,-18.5388,-22.836665
,-45,-52,-71,-65,-20.5093,-22.477865
,-47,-58,-71,-72,-22.3508,-19.729272
,-40,-56,-62,-70,-15.1244,-20.22827
,-39,-54,-57,-67,-12.096,-20.564567
,-40,-53,-58,-66,-11.4019,-22.809166
,-44,-47,-63,-60,-14.2482,-27.03786
,-48,-54,-84,-68,-23.0283,-23.33668
,-41,-45,-65,-58,-15.9338,-28.312958
,-48,-49,-75,-62,-24.0121,-25.502962
,-43,-50,-68,-63,-18.9803,-25.896563
,-51,-53,-77,-66,-25.6414,-21.263566
,-49,-54,-76,-67,-24.8996,-22.195567
,-49,-54,-73,-67,-22.8478,-21.809467
,-50,-56,-79,-69,-25.9518,-21.157269
,-54,-57,-86,-70,-33.8988,-20.50847
,-50,-56,-78,-70,-28.0777,-21.65027
,-43,-58,-61,-71,-18.137,-20.829971
,-50,-50,-74,-63,-25.6205,-26.438763
,-50,-48,-74,-61,-24.8476,-27.090761
,-47,-49,-68,-62,-19.5014,-25.912862
,-47,-52,-68,-65,-19.6339,-23.094565
,-36,-55,-54,-68,-10.4617,-22.46968
,-48,-48,-74,-61,-24.1733,-27.541861
,-51,-55,-83,-69,-29.3734,-21.116869
,-52,-54,-81,-68,-29.3548,-23.378368
,-53,-55,-83,-69,-32.1666,-22.173169
,-52,-55,-79,-70,-28.3589,-21.58937
,-48,-55,-70,-70,-20.8753,-21.8617
,-44,-56,-64,-71,-17.129,-20.144771
,-42,-55,-63,-69,-16.6826,-21.028369
,-40,-55,-61,-70,-15.1385,-19.94467
,-40,-54,-61,-69,-15.2324,-20.346769
,-41,-54,-63,-69,-15.6871,-20.777969
,-41,-54,-62,-68,-14.6266,-21.008968
,-41,-54,-62,-68,-13.8382,-21.37568
,-40,-54,-63,-68,-13.663,-21.083568
,-40,-54,-65,-68,-13.6518,-21.296168
