no_of_samples;enb_rssi;ue_rssi;enb_rsrp;ue_rsrp;enb_pwr;ue_pwr
271;-53;-54;-75;-67;-27.8446;-21.5467
272;-53;-54;-76;-67;-27.845;-21.536767
273;-56;-54;-78;-67;-29.3902;-21.818767
274;-59;-54;-85;-67;-35.291;-19.986267
275;-54;-54;-74;-67;-26.8301;-22.431667
276;-53;-56;-71;-69;-26.8026;-20.469269
277;-52;-55;-72;-69;-27.2206;-20.612869
278;-52;-55;-73;-69;-27.1884;-20.60969
279;-52;-55;-74;-69;-27.2968;-20.748869
280;-52;-55;-75;-68;-26.5467;-20.87868
281;-55;-54;-77;-68;-28.2443;-21.480468
282;-59;-54;-86;-67;-36.0172;-20.544767
283;-55;-54;-76;-67;-28.4573;-22.328167
284;-54;-54;-73;-68;-27.7545;-21.296968
285;-52;-55;-73;-68;-27.5777;-21.140468
286;-53;-55;-74;-68;-27.7682;-21.126768
287;-56;-54;-78;-67;-30.3662;-21.597967
288;-57;-54;-83;-67;-32.1229;-20.950767
289;-53;-54;-77;-68;-26.3826;-21.180468
290;-55;-55;-73;-69;-26.9779;-20.770569
291;-54;-55;-73;-69;-27.244;-20.667769
292;-52;-55;-73;-68;-27.1215;-20.963968
293;-52;-55;-73;-68;-27.1681;-21.006768
294;-52;-55;-74;-68;-26.8393;-21.106768
295;-56;-54;-79;-67;-30.9357;-21.966567
296;-56;-54;-83;-67;-30.7085;-22.554767
297;-55;-54;-81;-67;-28.1125;-21.753167
298;-56;-54;-76;-68;-28.0568;-21.436868
299;-55;-55;-74;-68;-28.0936;-21.216668
300;-54;-54;-75;-68;-28.7966;-21.415968
301;-56;-54;-77;-67;-31.0818;-21.565167
302;-54;-54;-78;-67;-28.2797;-22.381267
303;-55;-55;-75;-68;-27.1271;-21.048968
304;-53;-55;-77;-69;-27.6014;-20.698269
305;-54;-55;-80;-69;-27.578;-20.541169
306;-55;-55;-79;-69;-27.7687;-20.58369
307;-54;-55;-77;-69;-27.4249;-20.728769
308;-49;-55;-69;-68;-23.5806;-21.194468
309;-49;-54;-70;-68;-24.3068;-21.434468
310;-49;-55;-71;-68;-23.4529;-20.786368
311;-54;-54;-76;-68;-28.2836;-22.010568
312;-46;-54;-73;-67;-20.2995;-21.824667
313;-49;-55;-68;-68;-22.441;-21.520568
314;-52;-54;-71;-68;-25.1701;-21.528768
315;-50;-54;-72;-67;-24.0707;-22.050167
316;-48;-54;-70;-67;-22.9225;-21.503767
317;-48;-55;-71;-69;-22.6338;-20.019869
318;-49;-55;-74;-68;-23.7565;-20.493968
319;-48;-54;-74;-68;-21.6837;-21.798768
320;-47;-55;-72;-69;-20.7717;-21.028469
321;-47;-56;-68;-69;-19.3665;-20.148269
